level,category_id,category_name,parent_id,parent_name,variable_count,path
2,dc/g/CriminalIncidents,Criminal Incidents,dc/g/Crime,Crime,5,Root > Crime > Criminal Incidents
2,dc/g/HateCrimeIncidents,Hate Crime Incidents,dc/g/Crime,Crime,8298,Root > Crime > Hate Crime Incidents
2,dc/g/IncarcerationsAndReleases,Incarcerations And Releases,dc/g/Crime,Crime,6,Root > Crime > Incarcerations And Releases
2,dc/g/PrisonerPopulation,Prisoner Population,dc/g/Crime,Crime,299,Root > Crime > Prisoner Population
2,dc/g/Person_VictimAge,Person by Victim Age,dc/g/Crime,Crime,6,Root > Crime > Person by Victim Age
1,dc/g/AboutDataCommons,About Data Commons,dc/g/Root,Data Commons Variables,15,Root > About Data Commons
2,dc/g/StatisticalVariable,Statistical Variable,dc/g/AboutDataCommons,About Data Commons,15,Root > About Data Commons > Statistical Variable
1,dc/g/UN,12 UN Data Thematic Areas,dc/g/Root,Data Commons Variables,21471,Root > 12 UN Data Thematic Areas
2,dc/g/UN_THEME_1,1: Poverty and food security,dc/g/UN,12 UN Data Thematic Areas,183,Root > 12 UN Data Thematic Areas > 1: Poverty and food security
2,dc/g/UN_THEME_2,2: Health,dc/g/UN,12 UN Data Thematic Areas,21442,Root > 12 UN Data Thematic Areas > 2: Health
2,dc/g/UN_THEME_3,3: Children and youth,dc/g/UN,12 UN Data Thematic Areas,493,Root > 12 UN Data Thematic Areas > 3: Children and youth
2,dc/g/UN_THEME_4,4: Education and culture,dc/g/UN,12 UN Data Thematic Areas,113,Root > 12 UN Data Thematic Areas > 4: Education and culture
2,dc/g/UN_THEME_5,5: Equality and human rights,dc/g/UN,12 UN Data Thematic Areas,181,Root > 12 UN Data Thematic Areas > 5: Equality and human rights
2,dc/g/UN_THEME_6,6: Economic development,dc/g/UN,12 UN Data Thematic Areas,191,Root > 12 UN Data Thematic Areas > 6: Economic development
1,dc/g/SDG,Sustainable Development Goals,dc/g/Root,Data Commons Variables,4625,Root > Sustainable Development Goals
2,dc/g/SDG_1,1: No Poverty,dc/g/SDG,Sustainable Development Goals,131,Root > Sustainable Development Goals > 1: No Poverty
2,dc/g/SDG_2,2: Zero Hunger,dc/g/SDG,Sustainable Development Goals,75,Root > Sustainable Development Goals > 2: Zero Hunger
2,dc/g/SDG_3,3: Good Health and Well-being,dc/g/SDG,Sustainable Development Goals,152,Root > Sustainable Development Goals > 3: Good Health and Well-being
2,dc/g/SDG_4,4: Quality Education,dc/g/SDG,Sustainable Development Goals,918,Root > Sustainable Development Goals > 4: Quality Education
2,dc/g/SDG_5,5: Gender Equality,dc/g/SDG,Sustainable Development Goals,401,Root > Sustainable Development Goals > 5: Gender Equality
2,dc/g/SDG_6,6: Clean Water and Sanitation,dc/g/SDG,Sustainable Development Goals,94,Root > Sustainable Development Goals > 6: Clean Water and Sanitation
2,dc/g/SDG_7,7: Affordable and Clean Energy,dc/g/SDG,Sustainable Development Goals,23,Root > Sustainable Development Goals > 7: Affordable and Clean Energy
