"MinDate","MeasurementMethods","StatVar","observationPeriods","ScalingFactors","Units","NumPlaces"
"2018","[]","Count_MortalityEvent_MalignantNeoplasmOfBladder_Male_White","[P1Y]","[]","[]","426"
"2018","[]","Count_MortalityEvent_Accidents_UnintentionalInjuries__Female_AmericanIndianOrAlaskaNative","[P1Y]","[]","[]","26"
"2023","[]","Count_MortalityEvent_AllOtherAndUnspecifiedMalignantNeoplasms_Female_AmericanIndianOrAlaskaNative","[P1Y]","[]","[]","1"
"2020","[]","Count_MortalityEvent_CholelithiasisAndOtherDisordersOfGallbladder_Female_BlackOrAfricanAmericanAlone","[P1Y]","[]","[]","2"
"2018","[]","Count_MortalityEvent_InfluenzaAndPneumonia_Male_Asian","[P1Y]","[]","[]","30"
"2022","[]","Count_MortalityEvent_EnterocolitisDueToClostridiumDifficile_Female_Asian","[P1Y]","[]","[]","1"
"2018","[]","Count_MortalityEvent_OtherHeartDiseases_Female_BlackOrAfricanAmericanAlone","[P1Y]","[]","[]","435"
"2018","[]","Count_MortalityEvent_MalignantMelanomaOfSkin_Female_White","[P1Y]","[]","[]","83"
"2018","[]","Count_MortalityEvent_OtherFormsOfChronicIschemicHeartDisease_Male_TwoOrMoreRaces","[P1Y]","[]","[]","17"
"2018","[]","Count_MortalityEvent_PneumonitisDueToSolidsAndLiquids_Male_White","[P1Y]","[]","[]","366"
"2018","[]","Count_MortalityEvent_MalignantNeoplasmsOfLipOralCavityAndPharynx_Male_White","[P1Y]","[]","[]","250"
"2018","[]","Count_MortalityEvent_Suicide_Male_TwoOrMoreRaces","[P1Y]","[]","[]","9"
"2020","[]","Count_MortalityEvent_Atherosclerosis_Male_Asian","[P1Y]","[]","[]","3"
"2018","[]","Count_MortalityEvent_OtherChronicLiverDiseaseAndCirrhosis_Female_Asian","[P1Y]","[]","[]","4"
"2018","[]","Count_MortalityEvent_MalignantNeoplasmOfEsophagus_Female_White","[P1Y]","[]","[]","81"
"2018","[]","Count_MortalityEvent_ParkinsonsDisease_Female_White","[P1Y]","[]","[]","507"
"2020","[]","Count_MortalityEvent_PepticUlcer_Female_BlackOrAfricanAmericanAlone","[P1Y]","[]","[]","2"
"2018","[]","Count_MortalityEvent_NontransportAccidents_Male_Asian","[P1Y]","[]","[]","54"
"2018","[]","Count_MortalityEvent_MajorCardiovascularDiseases_Male_White","[P1Y]","[]","[]","2916"
"2018","[]","Count_MortalityEvent_ChronicLiverDiseaseAndCirrhosis_Male_Asian","[P1Y]","[]","[]","17"
"2018","[]","Count_MortalityEvent_Pneumonia_Male_BlackOrAfricanAmericanAlone","[P1Y]","[]","[]","87"
"2018","[]","Count_MortalityEvent_OtherFormsOfChronicIschemicHeartDisease_Male_NativeHawaiianOrOtherPacificIslanderAlone","[P1Y]","[]","[]","11"
"2018","[]","Count_MortalityEvent_Influenza_Female_BlackOrAfricanAmericanAlone","[P1Y]","[]","[]","4"
"2018","[]","Count_MortalityEvent_Essential_Primary_HypertensionAndHypertensiveRenalDisease_Male_White","[P1Y]","[]","[]","501"
"2018","[]","Count_MortalityEvent_AllOtherFormsOfHeartDisease_Female_BlackOrAfricanAmericanAlone","[P1Y]","[]","[]","301"
"2018","[]","Count_MortalityEvent_AcuteMyocardialInfarction_Female_NativeHawaiianOrOtherPacificIslanderAlone","[P1Y]","[]","[]","1"
"2018","[]","Count_MortalityEvent_OtherChronicLiverDiseaseAndCirrhosis_Male_White","[P1Y]","[]","[]","418"
"2018","[]","Count_MortalityEvent_CongenitalMalformationsDeformationsAndChromosomalAbnormalities_Female_White","[P1Y]","[]","[]","108"
"2018","[]","Count_MortalityEvent_AccidentalPoisoningAndExposureToNoxiousSubstances_Male_TwoOrMoreRaces","[P1Y]","[]","[]","30"
"2018","[]","Count_MortalityEvent_PregnancyChildbirthAndThePuerperium_Female_White","[P1Y]","[]","[]","6"
"2018","[]","Count_MortalityEvent_CholelithiasisAndOtherDisordersOfGallbladder_Female_White","[P1Y]","[]","[]","36"
"2018","[]","Count_MortalityEvent_AllOtherFormsOfHeartDisease_Female_TwoOrMoreRaces","[P1Y]","[]","[]","4"
"2018","[]","Count_MortalityEvent_CertainConditionsOriginatingInThePerinatalPeriod_Male_TwoOrMoreRaces","[P1Y]","[]","[]","3"
"2018","[]","Count_MortalityEvent_Falls_Female_BlackOrAfricanAmericanAlone","[P1Y]","[]","[]","33"
"2018","[]","Count_MortalityEvent_CertainConditionsOriginatingInThePerinatalPeriod_Female_TwoOrMoreRaces","[P1Y]","[]","[]","2"
"2018","[]","Count_MortalityEvent_PneumonitisDueToSolidsAndLiquids_Female_Asian","[P1Y]","[]","[]","11"
"2021","[]","Count_MortalityEvent_MalignantNeoplasmOfEsophagus_Female_Asian","[P1Y]","[]","[]","1"
"2018","[]","Count_MortalityEvent_MalignantNeoplasmOfPancreas_Male_BlackOrAfricanAmericanAlone","[P1Y]","[]","[]","93"
"2018","[]","Count_MortalityEvent_MalignantNeoplasmsOfLipOralCavityAndPharynx_Female_White","[P1Y]","[]","[]","72"
"2018","[]","Count_MortalityEvent_MalignantNeoplasmOfOvary_Female_BlackOrAfricanAmericanAlone","[P1Y]","[]","[]","41"
"2018","[]","Count_MortalityEvent_RespiratoryTuberculosis_Male_White","[P1Y]","[]","[]","1"
"2018","[]","Count_MortalityEvent_MalignantNeoplasmsOfLipOralCavityAndPharynx_Male_Asian","[P1Y]","[]","[]","9"
"2018","[]","Count_MortalityEvent_MalignantNeoplasmsOfKidneyAndRenalPelvis_Female_BlackOrAfricanAmericanAlone","[P1Y]","[]","[]","10"
"2018","[]","Count_MortalityEvent_Asthma_Female_White","[P1Y]","[]","[]","28"
"2018","[]","Count_MortalityEvent_OtherDiseasesOfRespiratorySystem_Female_White","[P1Y]","[]","[]","721"
"2018","[]","Count_MortalityEvent_HypertensiveHeartDisease_Male_BlackOrAfricanAmericanAlone","[P1Y]","[]","[]","178"
"2018","[]","Count_MortalityEvent_AccidentalPoisoningAndExposureToNoxiousSubstances_Female_BlackOrAfricanAmericanAlone","[P1Y]","[]","[]","144"
"2018","[]","Count_MortalityEvent_NutritionalDeficiencies_Female_BlackOrAfricanAmericanAlone","[P1Y]","[]","[]","32"
"2018","[]","Count_MortalityEvent_MalignantNeoplasmOfProstate_Male_Asian","[P1Y]","[]","[]","22"
"2018","[]","Count_MortalityEvent_Assault_Homicide_ByDischargeOfFirearms_Male_AmericanIndianOrAlaskaNative","[P1Y]","[]","[]","4"
"2018","[]","Count_MortalityEvent_AtheroscleroticCardiovascularDiseaseSoDescribed_Male_BlackOrAfricanAmericanAlone","[P1Y]","[]","[]","172"
"2018","[]","Count_MortalityEvent_RenalFailure_Female_White","[P1Y]","[]","[]","743"
"2018","[]","Count_MortalityEvent_OtherDiseasesOfRespiratorySystem_Female_Asian","[P1Y]","[]","[]","18"
"2018","[]","Count_MortalityEvent_MalignantNeoplasmsOfKidneyAndRenalPelvis_Female_Asian","[P1Y]","[]","[]","1"
"2018","[]","Count_MortalityEvent_ParkinsonsDisease_Male_White","[P1Y]","[]","[]","728"
"2018","[]","Count_MortalityEvent_AllOtherFormsOfChronicIschemicHeartDisease_Female_BlackOrAfricanAmericanAlone","[P1Y]","[]","[]","232"
"2018","[]","Count_MortalityEvent_DiabetesMellitus_Female_White","[P1Y]","[]","[]","1099"
"2021","[]","Count_MortalityEvent_Assault_Homicide_ByOtherAndUnspecifiedMeansAndTheirSequelae_Male_AmericanIndianOrAlaskaNative","[P1Y]","[]","[]","1"
"2018","[]","Count_MortalityEvent_AllOtherDiseases_Residual__Female_TwoOrMoreRaces","[P1Y]","[]","[]","29"
"2018","[]","Count_MortalityEvent_Assault_Homicide_ByDischargeOfFirearms_Female_White","[P1Y]","[]","[]","28"
"2018","[]","Count_MortalityEvent_AtheroscleroticCardiovascularDiseaseSoDescribed_Male_White","[P1Y]","[]","[]","975"
"2018","[]","Count_MortalityEvent_AtheroscleroticCardiovascularDiseaseSoDescribed_Male_NativeHawaiianOrOtherPacificIslanderAlone","[P1Y]","[]","[]","2"
"2018","[]","Count_MortalityEvent_MalignantNeoplasmOfLarynx_Male_BlackOrAfricanAmericanAlone","[P1Y]","[]","[]","9"
"2019","[]","Count_MortalityEvent_ParkinsonsDisease_Male_TwoOrMoreRaces","[P1Y]","[]","[]","1"
"2018","[]","Count_MortalityEvent_AlcoholicLiverDisease_Female_AmericanIndianOrAlaskaNative","[P1Y]","[]","[]","14"
"2018","[]","Count_MortalityEvent_DiseasesOfHeart_Male_Asian","[P1Y]","[]","[]","172"
"2018","[]","Count_MortalityEvent_ChronicLiverDiseaseAndCirrhosis_Male_White","[P1Y]","[]","[]","913"
"2018","[]","Count_MortalityEvent_AorticAneurysmAndDissection_Female_BlackOrAfricanAmericanAlone","[P1Y]","[]","[]","8"
"2018","[]","Count_MortalityEvent_AccidentalDrowningAndSubmersion_Male_BlackOrAfricanAmericanAlone","[P1Y]","[]","[]","8"
"2018","[]","Count_MortalityEvent_AccidentalPoisoningAndExposureToNoxiousSubstances_Male_White","[P1Y]","[]","[]","1127"
"2018","[]","Count_MortalityEvent_OtherChronicLiverDiseaseAndCirrhosis_Male_Asian","[P1Y]","[]","[]","6"
"2018","[]","Count_MortalityEvent_RenalFailure_Male_BlackOrAfricanAmericanAlone","[P1Y]","[]","[]","171"
"2018","[]","Count_MortalityEvent_HypertensiveHeartDisease_Female_Asian","[P1Y]","[]","[]","21"
"2018","[]","Count_MortalityEvent_MalignantNeoplasmsOfColonRectumAndAnus_Female_Asian","[P1Y]","[]","[]","26"
"2019","[]","Count_MortalityEvent_MalignantNeoplasmOfBreast_Female_NativeHawaiianOrOtherPacificIslanderAlone","[P1Y]","[]","[]","2"
"2018","[]","Count_MortalityEvent_ViralHepatitis_Male_BlackOrAfricanAmericanAlone","[P1Y]","[]","[]","10"
"2019","[]","Count_MortalityEvent_Assault_Homicide_ByDischargeOfFirearms_Male_TwoOrMoreRaces","[P1Y]","[]","[]","3"
"2018","[]","Count_MortalityEvent_AlzheimersDisease_Female_Asian","[P1Y]","[]","[]","42"
"2019","[]","Count_MortalityEvent_ComplicationsOfMedicalAndSurgicalCare_Male_BlackOrAfricanAmericanAlone","[P1Y]","[]","[]","2"
"2018","[]","Count_MortalityEvent_NephritisNephroticSyndromeAndNephrosis_Male_White","[P1Y]","[]","[]","797"
"2018","[]","Count_MortalityEvent_Emphysema_Female_BlackOrAfricanAmericanAlone","[P1Y]","[]","[]","2"
"2020","[]","Count_MortalityEvent_OtherAndUnspecifiedInfectiousAndParasiticDiseasesAndTheirSequelae_Male_TwoOrMoreRaces","[P1Y]","[]","[]","26"
"2018","[]","Count_MortalityEvent_Septicemia_Male_BlackOrAfricanAmericanAlone","[P1Y]","[]","[]","109"
"2018","[]","Count_MortalityEvent_NutritionalDeficiencies_Female_White","[P1Y]","[]","[]","439"
"2018","[]","Count_MortalityEvent_ChronicLowerRespiratoryDiseases_Male_NativeHawaiianOrOtherPacificIslanderAlone","[P1Y]","[]","[]","1"
