"MeasurementMethods","ScalingFactors","StatVar","Units","observationPeriods","MinDate","NumPlaces"
"[]","[]","Count_Person_55To59Years_LaborUnderutilized_Female","[]","[]","2019","23"
"[]","[]","Count_Person_45To49Years_LaborUnderutilized_Female","[]","[]","2019","22"
"[]","[]","Count_Person_35To39Years_LaborUnderutilized_Female","[]","[]","2019","22"
"[]","[]","Count_Person_15To19Years_LaborUnderutilized_Female","[]","[]","2019","22"
"[]","[]","Count_Person_40To44Years_LaborUnderutilizedPotentialLaborForce_Male","[]","[]","2019","23"
"[]","[]","Count_Person_60To64Years_LaborUnderutilizedTimeRelatedUnderemployed","[]","[]","2019","23"
"[]","[]","Count_Person_65To69Years_LaborUnderutilized_Female","[]","[]","2019","23"
"[]","[]","Count_Person_65To69Years_LaborUnderutilizedPotentialLaborForce_Female","[]","[]","2019","23"
"[]","[]","Count_Person_LaborUnderutilized","[]","[]","2019","22"
"[]","[]","Count_Person_60To64Years_LaborUnderutilizedPotentialLaborForce_Male","[]","[]","2019","23"
"[]","[]","Count_Person_15To19Years_LaborUnderutilizedTimeRelatedUnderemployed_Female","[]","[]","2019","23"
"[]","[]","Count_Person_40To44Years_LaborUnderutilizedPotentialLaborForce_Female","[]","[]","2019","23"
