"ScalingFactors","Units","NumPlaces","observationPeriods","MinDate","MeasurementMethods","StatVar"
"[]","[]","23","[]","2009","[]","Count_Person_MiningQuarrying_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_45To49Years_HouseholdActivities_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_70OrMoreYears_EducationSector_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_35To39Years_ElectricityGasSteamAndAirConditioner_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_45To49Years_ExtraterritorialOrganizationsAndBodies_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_15To19Years_HumanHealthAndSocialWork_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_55To59Years_WholesaleRetailTradeAndRepair_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_65To69Years_AdministrativeAndSupportServices_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_40To44Years_WaterSupplySewerageWasteManagement_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_50To54Years_AccommodationFoodSector_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_35To39Years_RealEstate_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_35To39Years_AccommodationFoodSector_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_40To44Years_ConstructionSector_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_70OrMoreYears_HouseholdActivities_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_65To69Years_AccommodationFoodSector_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_30To34Years_HouseholdActivities_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_25To29Years_OtherServiceSector_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_55To59Years_WaterSupplySewerageWasteManagement_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_50To54Years_ProfessionalScientificTechnicalActivities_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_25To29Years_ProcessingIndustry_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_30To34Years_AgricultureForestFishingSector_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_30To34Years_RealEstate_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_70OrMoreYears_ProcessingIndustry_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_35To39Years_MiningQuarrying_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_20To24Years_HumanHealthAndSocialWork_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_60To64Years_MiningQuarrying_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_RealEstate_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_55To59Years_AccommodationFoodSector_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_70OrMoreYears_ConstructionSector_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_60To64Years_RealEstate_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_70OrMoreYears_WholesaleRetailTradeAndRepair_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_60To64Years_InformationAndCommunication_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_40To44Years_ConstructionSector_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_65To69Years_ProfessionalScientificTechnicalActivities_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_40To44Years_WholesaleRetailTradeAndRepair_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_70OrMoreYears_ProfessionalScientificTechnicalActivities_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_55To59Years_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_45To49Years_AgricultureForestFishingSector_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_70OrMoreYears_ArtsEntertainmentRecreation_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_40To44Years_RealEstate_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_30To34Years_ElectricityGasSteamAndAirConditioner_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_70OrMoreYears_HouseholdActivities_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_25To29Years_MiningQuarrying_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_35To39Years_HumanHealthAndSocialWork_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_EducationSector_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_15To19Years_ArtsEntertainmentRecreation_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_WaterSupplySewerageWasteManagement_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_30To34Years_HumanHealthAndSocialWork_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_20To24Years_AdministrativeAndSupportServices_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_55To59Years_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_50To54Years_ProfessionalScientificTechnicalActivities_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_65To69Years_AgricultureForestFishingSector_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_70OrMoreYears_WholesaleRetailTradeAndRepair_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_30To34Years_AdministrativeAndSupportServices_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_65To69Years_AgricultureForestFishingSector_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_70OrMoreYears_AdministrativeAndSupportServices_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_35To39Years_HouseholdActivities_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_35To39Years_EducationSector_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_65To69Years_PublicAdministrationAndDefence_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_70OrMoreYears_ElectricityGasSteamAndAirConditioner_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_55To59Years_HumanHealthAndSocialWork_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_60To64Years_ElectricityGasSteamAndAirConditioner_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_15To19Years_ProcessingIndustry_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_30To34Years_MiningQuarrying_Employed_Female"
