"NumPlaces","ScalingFactors","Units","StatVar","observationPeriods","MeasurementMethods","MinDate"
"4","[]","[Percent]","Amount_Debt_JPY_LenderCountryCPV_AsAFractionOf_Amount_Debt_LenderCountryCPV","[P1Y]","[]","1970"
"1","[]","[Percent]","Amount_Debt_DEM_LenderUNRegularProgrammeofTechnicalCoop_AsAFractionOf_Amount_Debt_LenderUNRegularProgrammeofTechnicalCoop","[P1Y]","[]","1970"
"9","[]","[Percent]","Amount_Debt_GBP_LenderCountryCIV_AsAFractionOf_Amount_Debt_LenderCountryCIV","[P1Y]","[]","1970"
"70","[]","[Percent]","Amount_Debt_USD_LenderCountryNOR_AsAFractionOf_Amount_Debt_LenderCountryNOR","[P1Y]","[]","1970"
"16","[]","[Percent]","Amount_Debt_USD_LenderCorporacionAndinadeFomento_AsAFractionOf_Amount_Debt_LenderCorporacionAndinadeFomento","[P1Y]","[]","1970"
"2","[]","[Percent]","Amount_Debt_FRF_LenderCountryBOL_AsAFractionOf_Amount_Debt_LenderCountryBOL","[P1Y]","[]","1970"
"3","[]","[Percent]","Amount_Debt_WorldBankMultipleCurrency_LenderCountryKEN_AsAFractionOf_Amount_Debt_LenderCountryKEN","[P1Y]","[]","1970"
"6","[]","[Percent]","Amount_Debt_WorldBankMultipleCurrency_LenderCaribbeanCommunity_AsAFractionOf_Amount_Debt_LenderCaribbeanCommunity","[P1Y]","[]","1970"
"42","[]","[Percent]","Amount_Debt_DEM_LenderCountryLBY_AsAFractionOf_Amount_Debt_LenderCountryLBY","[P1Y]","[]","1970"
"3","[]","[Percent]","Amount_Debt_DEM_LenderEuropeanReliefFund_AsAFractionOf_Amount_Debt_LenderEuropeanReliefFund","[P1Y]","[]","1970"
"4","[]","[Percent]","Amount_Debt_JPY_LenderCountryZWE_AsAFractionOf_Amount_Debt_LenderCountryZWE","[P1Y]","[]","1970"
"106","[]","[Percent]","Amount_Debt_WorldBankOtherCurrency_LenderWorldBankIDA_AsAFractionOf_Amount_Debt_LenderWorldBankIDA","[P1Y]","[]","1970"
"8","[]","[Percent]","Amount_Debt_USD_LenderUNRegularProgrammeofTechnicalCoop_AsAFractionOf_Amount_Debt_LenderUNRegularProgrammeofTechnicalCoop","[P1Y]","[]","1970"
"54","[]","[Percent]","Amount_Debt_DEM_LenderIslamicDevBank_AsAFractionOf_Amount_Debt_LenderIslamicDevBank","[P1Y]","[]","1970"
"3","[]","[Percent]","Amount_Debt_WorldBankOtherCurrency_LenderCountryARM_AsAFractionOf_Amount_Debt_LenderCountryARM","[P1Y]","[]","1970"
"5","[]","[Percent]","Amount_Debt_CHF_LenderCountryOMN_AsAFractionOf_Amount_Debt_LenderCountryOMN","[P1Y]","[]","1970"
"5","[]","[Percent]","Amount_Debt_DEM_LenderArabLeague_AsAFractionOf_Amount_Debt_LenderArabLeague","[P1Y]","[]","1970"
"8","[]","[Percent]","Amount_Debt_WorldBankMultipleCurrency_LenderDevBankoftheCentralAfricanStates_AsAFractionOf_Amount_Debt_LenderDevBankoftheCentralAfricanStates","[P1Y]","[]","1970"
"4","[]","[Percent]","Amount_Debt_SDR_LenderCountryLBR_AsAFractionOf_Amount_Debt_LenderCountryLBR","[P1Y]","[]","1970"
"21","[]","[Percent]","Amount_Debt_SDR_LenderArabFundforEconomicSocialDevelopment_AsAFractionOf_Amount_Debt_LenderArabFundforEconomicSocialDevelopment","[P1Y]","[]","1970"
"1","[]","[Percent]","Amount_Debt_GBP_LenderCountryMDA_AsAFractionOf_Amount_Debt_LenderCountryMDA","[P1Y]","[]","1992"
"44","[]","[Percent]","Amount_Debt_SDR_LenderEuropeanEconomicCommunity_AsAFractionOf_Amount_Debt_LenderEuropeanEconomicCommunity","[P1Y]","[]","1970"
"23","[]","[Percent]","Amount_Debt_DEM_LenderCountryVEN_AsAFractionOf_Amount_Debt_LenderCountryVEN","[P1Y]","[]","1970"
"44","[]","[Percent]","Amount_Debt_WorldBankOtherCurrency_LenderEuropeanEconomicCommunity_AsAFractionOf_Amount_Debt_LenderEuropeanEconomicCommunity","[P1Y]","[]","1970"
"11","[]","[Percent]","Amount_Debt_DEM_LenderCountryBMU_AsAFractionOf_Amount_Debt_LenderCountryBMU","[P1Y]","[]","1970"
"15","[]","[Percent]","Amount_Debt_WorldBankMultipleCurrency_LenderCountryMEX_AsAFractionOf_Amount_Debt_LenderCountryMEX","[P1Y]","[]","1970"
"21","[]","[Percent]","Amount_Debt_WorldBankOtherCurrency_LenderNordicInvestmentBank_AsAFractionOf_Amount_Debt_LenderNordicInvestmentBank","[P1Y]","[]","1970"
"1","[]","[Percent]","Amount_Debt_SDR_LenderCountryBEN_AsAFractionOf_Amount_Debt_LenderCountryBEN","[P1Y]","[]","1970"
"1","[]","[Percent]","Amount_Debt_EUR_LenderBolivarianAlliancefortheAmericas_AsAFractionOf_Amount_Debt_LenderBolivarianAlliancefortheAmericas","[P1Y]","[]","2001"
"10","[]","[Percent]","Amount_Debt_USD_LenderEastAfricanCommunity_AsAFractionOf_Amount_Debt_LenderEastAfricanCommunity","[P1Y]","[]","1970"
"2","[]","[Percent]","Amount_Debt_SDR_LenderCountryUKR_AsAFractionOf_Amount_Debt_LenderCountryUKR","[P1Y]","[]","1970"
"28","[]","[Percent]","Amount_Debt_JPY_LenderCountrySGP_AsAFractionOf_Amount_Debt_LenderCountrySGP","[P1Y]","[]","1970"
"14","[]","[Percent]","Amount_Debt_JPY_LenderCountryPRK_AsAFractionOf_Amount_Debt_LenderCountryPRK","[P1Y]","[]","1970"
"1","[]","[Percent]","Amount_Debt_WorldBankMultipleCurrency_LenderEconCommoftheGreatLakesCountries_AsAFractionOf_Amount_Debt_LenderEconCommoftheGreatLakesCountries","[P1Y]","[]","1970"
"3","[]","[Percent]","Amount_Debt_WorldBankMultipleCurrency_LenderECOTradeandDevBank_AsAFractionOf_Amount_Debt_LenderECOTradeandDevBank","[P1Y]","[]","1970"
"19","[]","[Percent]","Amount_Debt_CHF_LenderCountryMYS_AsAFractionOf_Amount_Debt_LenderCountryMYS","[P1Y]","[]","1970"
"116","[]","[Percent]","Amount_Debt_FRF_LenderCountryUSA_AsAFractionOf_Amount_Debt_LenderCountryUSA","[P1Y]","[]","1970"
"2","[]","[Percent]","Amount_Debt_WorldBankMultipleCurrency_LenderCountryMKD_AsAFractionOf_Amount_Debt_LenderCountryMKD","[P1Y]","[]","1970"
"37","[]","[Percent]","Amount_Debt_EUR_LenderCountryTUR_AsAFractionOf_Amount_Debt_LenderCountryTUR","[P1Y]","[]","2001"
