"Units","NumPlaces","ScalingFactors","MinDate","observationPeriods","MeasurementMethods","StatVar"
"[USDollar]","5","[]","1992","[P1Y]","[]","AmountOutstanding_Debt_PrivateCreditor_PubliclyGuaranteed_CommercialBank_LongTermExternalDebt_LenderCountryMKD"
"[USDollar]","8","[]","2001","[P1Y]","[]","AmountOutstanding_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderCountrySVN"
"[USDollar]","12","[]","1975","[P1Y]","[]","AmountOutstanding_Debt_PrivateCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryKEN"
"[USDollar]","63","[]","1975","[P1Y]","[]","AmountOutstanding_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderIslamicDevBank"
"[USDollar]","8","[]","1994","[P1Y]","[]","AmountOutstanding_Debt_PrivateCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryOMN"
"[USDollar]","5","[]","2001","[P1Y]","[]","AmountOutstanding_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderCountrySWZ"
"[USDollar]","23","[]","1970","[P1Y]","[]","AmountOutstanding_Debt_LongTermExternalDebt_LenderCountryNZL"
"[USDollar]","8","[]","1989","[P1Y]","[]","AmountOutstanding_Debt_OfficialCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderLatinAmerConfofSavingCreditCoop"
"[USDollar]","6","[]","2001","[P1Y]","[]","AmountOutstanding_Debt_PrivateCreditor_PubliclyGuaranteed_CommercialBank_LongTermExternalDebt_LenderCountryMLT"
"[USDollar]","7","[]","1998","[P1Y]","[]","AmountOutstanding_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryKGZ"
"[USDollar]","83","[]","1970","[P1Y]","[]","AmountOutstanding_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderCountrySWE"
"[USDollar]","9","[]","1981","[P1Y]","[]","AmountOutstanding_Debt_LongTermExternalDebt_LenderCountryHND"
"[USDollar]","6","[]","1992","[P1Y]","[]","AmountOutstanding_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryMKD"
"[USDollar]","7","[]","2011","[P1Y]","[]","AmountOutstanding_Debt_OfficialCreditor_Concessional_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountryMLI"
"[USDollar]","47","[]","1970","[P1Y]","[]","AmountOutstanding_Debt_PrivateCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountrySUN"
"[USDollar]","23","[]","1978","[P1Y]","[]","AmountOutstanding_Debt_OfficialCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderArabMonetaryFund"
"[USDollar]","18","[]","1991","[P1Y]","[]","AmountOutstanding_Debt_LongTermExternalDebt_LenderEasternSouthernAfricanTradeDevBank"
"[USDollar]","64","[]","1970","[P1Y]","[]","AmountOutstanding_Debt_OfficialCreditor_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountrySUN"
"[USDollar]","37","[]","1970","[P1Y]","[]","AmountOutstanding_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryDZA"
"[USDollar]","8","[]","1975","[P1Y]","[]","AmountOutstanding_Debt_OfficialCreditor_Concessional_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountryIDN"
"[USDollar]","12","[]","1979","[P1Y]","[]","AmountOutstanding_Debt_OfficialCreditor_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountryOMN"
"[USDollar]","125","[]","1970","[P1Y]","[]","AmountOutstanding_Debt_LongTermExternalDebt_LenderCountryDEU"
"[USDollar]","8","[]","1994","[P1Y]","[]","AmountOutstanding_Debt_PrivateCreditor_PubliclyGuaranteed_CommercialBank_LongTermExternalDebt_LenderCountryOMN"
"[USDollar]","96","[]","1970","[P1Y]","[]","AmountOutstanding_Debt_PrivateCreditor_PubliclyGuaranteed_CommercialBank_LongTermExternalDebt_LenderMultipleLenders"
"[USDollar]","8","[]","1984","[P1Y]","[]","AmountOutstanding_Debt_PrivateCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryIDN"
"[USDollar]","14","[]","1982","[P1Y]","[]","AmountOutstanding_Debt_PrivateCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryMLT"
"[USDollar]","6","[]","2004","[P1Y]","[]","AmountOutstanding_Debt_LongTermExternalDebt_LenderArabTownsOrganization"
