"Units","ScalingFactors","MinDate","observationPeriods","NumPlaces","StatVar","MeasurementMethods"
"[USDollar]","[]","1980","[P1Y]","79","AmountPrincipalRepayment_Debt_OfficialCreditor_Concessional_PubliclyGuaranteed_Multilateral_LongTermExternalDebt_LenderOPECFundforInternationalDev","[]"
"[USDollar]","[]","2000","[P1Y]","5","AmountPrincipalRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryUKR","[]"
"[USDollar]","[]","1983","[P1Y]","16","AmountPrincipalRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountrySGP","[]"
"[USDollar]","[]","1984","[P1Y]","8","AmountPrincipalRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_Multilateral_LongTermExternalDebt_LenderFondoLatinoamericanodeReservas","[, WorldBankProjection]"
"[USDollar]","[]","1997","[P1Y]","18","AmountPrincipalRepayment_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderEasternSouthernAfricanTradeDevBank","[, WorldBankProjection]"
"[USDollar]","[]","1978","[P1Y]","11","AmountPrincipalRepayment_Debt_PrivateCreditor_PubliclyGuaranteed_WorldBankOtherPrivate_LongTermExternalDebt_LenderCountryCOL","[]"
"[USDollar]","[]","1973","[P1Y]","73","AmountPrincipalRepayment_Debt_LongTermExternalDebt_LenderEuropeanDevelopmentFund","[, WorldBankProjection]"
"[USDollar]","[]","1976","[P1Y]","13","AmountPrincipalRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_Multilateral_LongTermExternalDebt_LenderEntenteCouncil","[]"
"[USDollar]","[]","1970","[P1Y]","119","AmountPrincipalRepayment_Debt_LongTermExternalDebt_LenderCountryGBR","[, WorldBankProjection]"
"[USDollar]","[]","1970","[P1Y]","16","AmountPrincipalRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCorporacionAndinadeFomento","[, WorldBankProjection]"
"[USDollar]","[]","2011","[P1Y]","6","AmountPrincipalRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryHRV","[]"
